#x-axis,1,2
#second,Volt,Volt
-1.525000E+00,-18.844E-03,+0.0E+00
-1.523100E+00,-10.050E-03,-10.050E-03
-1.521200E+00,-18.844E-03,-18.844E-03
-1.519300E+00,-10.050E-03,-10.050E-03
-1.517400E+00,+0.0E+00,+18.844E-03
-1.515500E+00,-8.794E-03,+0.0E+00
-1.513600E+00,-18.844E-03,+0.0E+00
-1.511700E+00,-8.794E-03,-10.050E-03
-1.509800E+00,-18.844E-03,+0.0E+00
-1.507900E+00,-20.101E-03,-28.894E-03
-1.506000E+00,+0.0E+00,-20.101E-03
-1.504100E+00,-18.844E-03,-18.844E-03
-1.502200E+00,-20.101E-03,+0.0E+00
-1.500300E+00,-8.794E-03,+0.0E+00
-1.498400E+00,-18.844E-03,+0.0E+00
-1.496500E+00,-20.101E-03,-18.844E-03
-1.494600E+00,-18.844E-03,-18.844E-03
-1.492700E+00,-8.794E-03,+0.0E+00
-1.490800E+00,-20.101E-03,-18.844E-03
-1.488900E+00,-10.050E-03,+0.0E+00
-1.487000E+00,-20.101E-03,+0.0E+00
-1.485100E+00,-20.101E-03,+0.0E+00
-1.483200E+00,-20.101E-03,-18.844E-03
-1.481300E+00,-8.794E-03,-20.101E-03
-1.479400E+00,-20.101E-03,+0.0E+00
-1.477500E+00,-8.794E-03,-10.050E-03
-1.475600E+00,-20.101E-03,+0.0E+00
-1.473700E+00,-20.101E-03,+0.0E+00
-1.471800E+00,-18.844E-03,-18.844E-03
-1.469900E+00,-8.794E-03,-20.101E-03
-1.468000E+00,+0.0E+00,+0.0E+00
-1.466100E+00,-10.050E-03,-20.101E-03
-1.464200E+00,+0.0E+00,+0.0E+00
-1.462300E+00,+0.0E+00,+0.0E+00
-1.460400E+00,-18.844E-03,-18.844E-03
-1.458500E+00,-20.101E-03,+0.0E+00
-1.456600E+00,-18.844E-03,+0.0E+00
-1.454700E+00,-10.050E-03,-10.050E-03
-1.452800E+00,-38.945E-03,+0.0E+00
-1.450900E+00,-20.101E-03,-8.794E-03
-1.449000E+00,-20.101E-03,-18.844E-03
-1.447100E+00,-8.794E-03,+0.0E+00
-1.445200E+00,-20.101E-03,+0.0E+00
-1.443300E+00,-20.101E-03,+0.0E+00
-1.441400E+00,-18.844E-03,+0.0E+00
-1.439500E+00,-10.050E-03,+0.0E+00
-1.437600E+00,-20.101E-03,+0.0E+00
-1.435700E+00,-8.794E-03,-10.050E-03
-1.433800E+00,+0.0E+00,+0.0E+00
-1.431900E+00,+0.0E+00,+0.0E+00
-1.430000E+00,+0.0E+00,+0.0E+00
-1.428100E+00,-20.101E-03,-8.794E-03
-1.426200E+00,-20.101E-03,-18.844E-03
-1.424300E+00,-10.050E-03,+0.0E+00
