#; (content of file C:\Users\BrukerAdm\Desktop\Praktikum\65_hering_ptaszyk\rock_scan_0.raw)
#_FILEVERSION = 2
#_SAMPLE = 
#_+SAMPLE = 
#_SITE = Dortmund
#_USER = "Metin Tolan"
#_GONIOMETER_CODE = 21
#_STAGE_CODE = 8
#; Goniometer : D8 theta/theta, stage : XYZ Drive(s)
#_SAMPLE_CHANGER_CODE = 0
#_ATTACHMENTS_CODE = 0
#_GONIOMETER_RADIUS = 300
#_FIXED_DIVSLIT = 0.15
#_FIXED_SAMPLESLIT = 1
#_SOLLER_SLITS = 2
#_FIXED_DETSLIT = 1
#_MONOCHROMATOR = 0
#; Incident beam monochromator : None
#_THIN_FILM = N
#_BETA_FILTER = N
#_FIXED_ANTISLIT = 0.15
#_ANALYZER_CODE = 0
#; Received beam analyzer : None
#_DATEMEASURED = "18-Feb-2019 10:06:41"
#_WL_UNIT = A
#_WL1 = 1.5406
#_WL2 = 1.54439
#_WL3 = 1.39222
#_WLRATIO = 0.5
#_ANODE = Cu
#
#; Data for range 1
#_DRIVE = THETA
#_STEPTIME = 1
#_STEPSIZE = 0.02
#_STEPMODE = C
#_START = -1
#_THETA = -1
#_2THETA = 0
#_KHI = 0
#_PHI = 0
#_X = 30
#_Y = 4
#_Z = 18.734
#_DETECTOR = 1
#; Detector type : Scintillation counter
#_HV = 743.4
#_GAIN = 80
#_LLD = 0.98
#_ULD = 2.01
#_DETECTORSLIT = out
#_AUX1 = 0
#_AUX2 = 0
#_AUX3 = 0
#_TIMESTARTED = 3
#_TEMP_RATE = -1
#_TEMP_DELAY = -1
#_KV = 40
#_MA = 40
#_RANGE_WL = 1.5406
#_3DPLANE = 0
#_V4_COUNTERS_MASK = 1
#_V4_DRIVES_MASK = 0
#_V4_ENCODERS_MASK = 0
#_2THETACOUNTS = 1
#; THETA  Cnt1_D1
  -1.0000     616042
  -0.9800     624428
  -0.9600     660535
  -0.9400     663098
  -0.9200     659138
  -0.9000     682549
  -0.8800     696759
  -0.8600     692333
  -0.8400     690936
  -0.8200     706660
  -0.8000     723898
  -0.7800     707592
  -0.7600     719123
  -0.7400     725762
  -0.7200     714347
  -0.7000     737177
  -0.6800     727975
  -0.6600     738924
  -0.6400     748242
  -0.6200     751154
  -0.6000     733682
  -0.5800     751620
  -0.5600     754764
  -0.5400     765830
  -0.5200     762452
  -0.5000     754182
  -0.4800     749174
  -0.4600     785747
  -0.4400     848644
  -0.4200     954754
  -0.4000    1145310
  -0.3800    1446050
  -0.3600    1874910
  -0.3400    2476160
  -0.3200    3242340
  -0.3000    4680940
  -0.2800    6073210
  -0.2600    7057410
  -0.2400    8413680
  -0.2200    9817960
  -0.2000   11690300
  -0.1800   14246800
  -0.1600   16239200
  -0.1400   19047800
  -0.1200   22228400
  -0.1000   23380700
  -0.0800   25925200
  -0.0600   29177800
  -0.0400   32490500
  -0.0200   34470900
   0.0000   37363500
   0.0200   40712100
   0.0400   44528900
   0.0600   46389300
   0.0800   49906000
   0.1000   52882600
   0.1200   55331100
   0.1400   61152200
   0.1600   61200200
   0.1800   64945000
   0.2000   70322096
   0.2200   71066200
   0.2400   74234800
   0.2600   70010000
   0.2800   66229200
   0.3000   63120600
   0.3200   59976000
   0.3400   56579300
   0.3600   50290100
   0.3800   47541500
   0.4000   45453100
   0.4200   40784200
   0.4400   38179600
   0.4600   34062800
   0.4800   30522100
   0.5000   28289700
   0.5200   23668700
   0.5400   21784400
   0.5600   18519700
   0.5800   14907000
   0.6000   13442700
   0.6200   11210200
   0.6400    9181840
   0.6600    7117420
   0.6800    4956990
   0.7000    3948790
   0.7200    2688540
   0.7400    1596320
   0.7600    1236250
   0.7800     737992
   0.8000     578070
   0.8200     524491
   0.8400     508884
   0.8600     490015
   0.8800     495489
   0.9000     505622
   0.9200     484773
   0.9400     491412
   0.9600     510980
   0.9800     508418
   1.0000     499682
